ticker,year,e_score,s_score,g_score,total_score
BSX,2020,3.16,18.0,11.83,32.98
BSX,2022,2.83,12.86,10.32,26.02
EXR,2022,3.81,4.28,5.86,13.94
ADM,2019,16.38,14.2,5.9,36.36
ADM,2020,15.89,13.51,5.38,34.78
ADM,2021,15.91,13.49,4.85,34.25
BBY,2020,2.11,5.2,4.6,11.92
AAPL,2019,0.55,13.58,10.47,24.32
AAPL,2021,0.18,7.69,8.86,16.72
AAPL,2022,0.65,6.86,8.95,16.45
AAPL,2023,0.46,7.39,9.37,17.22
ACGL,2019,1.9,10.12,13.95,25.98
ACGL,2020,2.02,10.58,13.62,26.22
ACGL,2021,2.01,7.78,13.17,22.96
ADBE,2019,0.47,7.97,5.23,13.87
ADBE,2020,0.45,8.06,5.05,13.54
ADBE,2021,0.48,5.65,4.74,10.88
ADBE,2022,1.42,5.84,4.64,11.9
ADSK,2019,1.27,12.97,5.63,19.73
ADSK,2020,1.28,12.77,5.46,19.52
ADSK,2021,1.37,9.22,4.78,15.36
ADSK,2022,2.73,8.53,4.6,15.86
AKAM,2020,1.91,11.8,7.34,21.05
AKAM,2021,1.98,11.51,7.62,21.11
AKAM,2022,1.93,10.35,7.45,19.73
AKAM,2023,2.96,7.0,6.82,16.78
AMGN,2018,0.03,16.38,7.07,23.41
AMGN,2020,0.03,14.73,6.76,21.51
AMGN,2021,0.03,13.18,6.5,19.71
AMZN,2019,6.66,15.55,11.0,33.69
AMZN,2020,5.74,13.46,10.8,30.0
AMZN,2021,5.44,12.93,9.73,28.09
AMZN,2022,5.71,14.62,9.86,30.18
ANSS,2019,0.75,9.96,5.22,15.93
ANSS,2020,0.94,9.46,4.99,15.4
ANSS,2021,1.13,8.96,4.88,14.98
ANSS,2022,0.86,7.32,4.93,13.12
APA,2021,21.98,8.88,7.96,38.81
AVGO,2020,8.99,8.39,8.71,26.09
AVGO,2021,8.96,8.66,7.9,25.52
BIIB,2019,0.04,14.99,8.49,23.52
BIIB,2020,0.03,15.3,8.03,23.36
BIIB,2021,0.02,14.65,7.54,22.2
BIIB,2022,0.02,13.07,7.82,20.91
BKNG,2019,4.37,9.5,6.23,20.31
BKNG,2020,3.88,9.4,6.15,19.43
BKNG,2021,3.88,9.68,6.31,19.87
CBOE,2020,2.97,9.24,9.43,21.64
CBOE,2021,2.57,7.19,8.98,18.69
CBOE,2022,2.85,7.43,9.19,19.47
CDNS,2019,1.37,10.9,5.97,18.72
CDNS,2020,1.16,10.51,5.51,17.18
CDNS,2021,1.14,9.85,5.27,16.26
CHRW,2019,6.51,12.91,6.55,26.0
CHRW,2020,6.44,13.0,6.45,25.89
CHRW,2021,5.83,12.36,6.28,24.48
CHRW,2022,4.89,9.42,5.63,19.94
CINF,2019,1.71,9.14,15.89,26.7
CINF,2020,1.71,9.42,15.3,26.42
CINF,2021,1.78,9.11,14.53,25.41
CINF,2022,1.83,9.42,13.47,24.72
CMCSA,2019,1.22,9.3,8.93,19.43
CMCSA,2020,1.22,9.3,9.09,19.61
CMCSA,2021,1.89,9.86,8.77,20.51
CMCSA,2022,4.56,12.11,8.07,24.74
CME,2019,2.79,7.46,6.79,17.03
CME,2020,2.68,7.32,6.47,16.46
CME,2021,1.95,6.55,6.05,14.56
CME,2022,2.13,6.21,6.24,14.59
CPRT,2022,2.45,11.3,5.92,19.67
CSCO,2019,0.6,6.58,6.85,14.08
CSCO,2020,0.57,6.18,6.27,13.02
CSCO,2021,0.44,5.84,6.07,12.35
CSGP,2022,5.42,13.12,8.12,26.65
CSGP,2023,5.16,11.23,8.04,24.42
CSX,2019,7.04,12.36,3.19,22.57
CSX,2020,6.64,12.37,3.49,22.5
CSX,2021,5.49,9.3,3.61,18.41
CSX,2022,7.45,9.19,3.55,20.2
CTAS,2020,5.48,12.45,7.48,25.41
CTAS,2021,5.09,11.31,7.3,23.7
CTAS,2022,4.1,9.46,6.99,20.54
CTSH,2020,1.03,11.23,8.17,20.42
CTSH,2021,1.06,12.22,7.44,20.71
CTSH,2022,1.11,9.5,5.74,16.35
DLTR,2020,3.86,9.85,5.87,19.57
DLTR,2021,3.4,8.54,5.82,17.76
DLTR,2022,3.4,7.41,4.27,15.08
DLTR,2023,3.34,10.09,4.04,17.47
DXCM,2019,6.46,22.43,12.99,41.91
DXCM,2020,6.2,17.79,10.64,34.64
DXCM,2021,5.93,13.04,8.23,27.21
DXCM,2022,5.57,11.43,8.28,25.28
EBAY,2019,1.69,11.13,7.32,20.17
EBAY,2020,1.69,11.41,7.72,20.81
EBAY,2021,1.34,10.79,7.54,19.67
EBAY,2022,0.93,9.33,6.71,16.98
EQIX,2019,4.96,5.26,4.9,15.5
EQIX,2020,5.42,5.24,5.49,16.16
EQIX,2021,4.52,5.48,5.49,15.5
EXPD,2019,4.07,9.2,5.14,18.68
EXPD,2020,4.01,9.9,5.03,18.94
EXPD,2021,4.05,9.23,4.84,18.13
EXPD,2022,3.83,7.31,4.96,16.1
FAST,2022,10.69,8.66,7.05,26.4
FFIV,2021,1.21,11.87,5.34,18.42
FFIV,2022,1.26,12.49,5.47,19.23
FITB,2019,2.23,13.03,11.34,26.6
